id,model,modelId,inst,think,expected,right,partial,wrong,error,check,duration,tokens
Claude35Haiku/n_3_inst_0_think_0/10.md,Claude35Haiku,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0,0,6,6,0,0,0,6,1891,126
Claude35Haiku/n_3_inst_0_think_0/11.md,Claude35Haiku,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0,0,6,5,0,1,0,6,1216,134
Claude35Haiku/n_3_inst_0_think_0/12.md,Claude35Haiku,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0,0,6,6,0,0,0,6,2059,122
Claude35Haiku/n_3_inst_0_think_0/14.md,Claude35Haiku,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0,0,6,6,0,0,0,6,2302,107
Claude35Haiku/n_3_inst_0_think_0/15.md,Claude35Haiku,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0,0,6,6,0,0,0,6,2942,110
Claude35Haiku/n_3_inst_0_think_0/16.md,Claude35Haiku,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0,0,6,6,0,0,0,6,2549,110
Claude35Haiku/n_3_inst_0_think_0/18.md,Claude35Haiku,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0,0,6,6,0,0,0,6,1,120
Claude35Haiku/n_3_inst_0_think_0/19.md,Claude35Haiku,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0,0,6,6,0,0,0,6,2059,102
Claude35Haiku/n_3_inst_0_think_1/10.md,Claude35Haiku,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0,1,6,6,0,0,0,6,6221,229
Claude35Haiku/n_3_inst_0_think_1/11.md,Claude35Haiku,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0,1,6,6,0,0,0,6,4603,221
Claude35Haiku/n_3_inst_0_think_1/12.md,Claude35Haiku,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0,1,6,6,0,0,0,6,6413,284
Claude35Haiku/n_3_inst_0_think_1/13.md,Claude35Haiku,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0,1,6,6,0,0,0,6,4106,230
Claude35Haiku/n_3_inst_0_think_1/14.md,Claude35Haiku,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0,1,6,6,0,0,0,6,4558,223
Claude35Haiku/n_3_inst_0_think_1/17.md,Claude35Haiku,us.anthropic.claude-3-7-sonnet-20250219-v1:0,0,1,6,6,0,0,0,6,2965,234
